gene	log2FC	pvalue	padjs
Gx74003	0.035	0.966	0.966
Gx51580	-0.27	0.0819	0.0819
Gx58355	0.439	0.364	0.364
Gx60906	0.072	0.247	0.247
Gx71106	-0.041	0.675	0.675
Gx86891	-0.251	0.664	0.664
Gx30474	-0.134	0.13	0.13
Gx14526	0.262	0.553	0.553
Gx40706	-0.285	0.0249	0.0249
Gx20088	-0.064	0.339	0.339
Gx60291	0.74	0.0155	0.0155
Gx99591	-0.193	0.0218	0.0218
Gx56363	0.082	0.316	0.316
Gx58022	-0.168	0.479	0.479
Gx70112	-0.082	0.862	0.862
Gx22904	-0.002	0.967	0.967
Gx65845	-0.167	0.514	0.514
Gx75044	0.078	0.697	0.697
Gx50610	0.052	0.324	0.324
Gx76311	-0.209	0.37	0.37
Gx89978	-0.085	0.346	0.346
Gx74534	0.062	0.501	0.501
Gx29202	-0.131	0.126	0.126
Gx88266	-0.117	0.112	0.112
Gx71923	0.131	0.123	0.123
Gx74445	0.049	0.81	0.81
Gx46472	-0.208	0.111	0.111
Gx74633	-0.056	0.862	0.862
Gx50023	0.074	0.385	0.385
Gx59544	-0.005	0.951	0.951
Gx33550	0.027	0.819	0.819
Gx61704	0.186	0.452	0.452
Gx76241	-0.454	0.0471	0.0471
Gx53926	-0.597	0.098	0.098
Gx35767	0.04	0.865	0.865
Gx80995	-0.026	0.867	0.867
Gx67558	-0.177	0.0397	0.0397
Gx70980	0.161	0.0795	0.0795
Gx14441	0.192	0.478	0.478
Gx54022	-0.104	0.291	0.291
Gx93554	0.088	0.271	0.271
Gx33717	0.078	0.46	0.46
Gx36076	-0.119	0.308	0.308
Gx63455	0.106	0.734	0.734
Gx43675	0.003	0.962	0.962
Gx94481	-0.054	0.277	0.277
Gx61893	-0.195	0.252	0.252
Gx20748	0.044	0.486	0.486
Gx70403	0.032	0.761	0.761
Gx39196	-0.109	0.162	0.162
Gx13954	0.087	0.248	0.248
Gx61316	0.054	0.368	0.368
Gx43653	0.09	0.193	0.193
Gx10069	0.115	0.174	0.174
Gx90035	-0.034	0.624	0.624
Gx58371	0.796	0.177	0.177
Gx84064	0.238	0.633	0.633
Gx61155	-0.052	0.536	0.536
Tavrel	0.737	3.55e-05	3.55e-05
Gx47924	-0.15	0.393	0.393
Gx69973	-0.104	0.15	0.15
Gx25875	0.299	0.201	0.201
Gx16123	0.036	0.945	0.945
Gx76280	-0.063	0.388	0.388
Gx96356	0.086	0.661	0.661
Gx42356	0.095	0.586	0.586
Gx58625	-0.043	0.48	0.48
Gx38078	-0.138	0.113	0.113
Gx26135	0.122	0.155	0.155
Gx50737	-0.067	0.208	0.208
Gx91611	0.367	0.505	0.505
Gx69699	-0.252	0.376	0.376
Gx60593	-0.516	0.00249	0.00249
Gx65956	0.149	0.0851	0.0851
Gx69840	0.009	0.933	0.933
Gx42326	-0.41	0.0407	0.0407
Gx51126	0.042	0.919	0.919
Gx64962	-0.281	0.0446	0.0446
Gx60903	0.295	0.433	0.433
Gx33376	-0.038	0.667	0.667
Gx34895	0.257	0.187	0.187
Gx28762	0.067	0.654	0.654
Gx57859	0.17	0.0845	0.0845
Gx48350	-0.085	0.601	0.601
Gx12739	0.172	0.118	0.118
Gx28252	0.024	0.804	0.804
Gx87693	-0.116	0.236	0.236
Gx66201	-0.068	0.455	0.455
Gx53766	-0.069	0.318	0.318
Gx76950	-0.085	0.591	0.591
Gx41711	0.014	0.864	0.864
Gx91979	-0.175	0.0309	0.0309
Gx15035	-0.028	0.714	0.714
Gx44365	0.01	0.933	0.933
Gx25996	-0.163	0.561	0.561
Gx76713	0.381	0.0195	0.0195
Gx10012	-0.077	0.218	0.218
Gx72488	-0.196	0.572	0.572
Gx42383	0.105	0.182	0.182
Gx16212	0.04	0.412	0.412
Gx37631	0.104	0.33	0.33
Gx68408	-0.063	0.33	0.33
Gx15472	0.023	0.802	0.802
Gx80461	-0.096	0.0932	0.0932
Gx81088	0.942	0.0641	0.0641
Gx89369	0.205	0.26	0.26
Gx28106	0.216	0.281	0.281
Gx15962	-0.111	0.301	0.301
Gx58223	0.32	0.15	0.15
Gx40757	-0.024	0.719	0.719
Gx48513	-0.054	0.67	0.67
Gx41330	-0.043	0.817	0.817
Gx51121	-0.113	0.0881	0.0881
Gx53828	-0.288	0.117	0.117
Gx65326	0.005	0.973	0.973
Gx71973	-0.128	0.286	0.286
Gx28205	0.027	0.862	0.862
Gx29823	0.033	0.472	0.472
Gx82980	-0.054	0.389	0.389
Gx94343	-0.395	0.0679	0.0679
Gx55575	-0.651	0.221	0.221
Gx94613	-0.015	0.856	0.856
Gx92619	-0.012	0.945	0.945
Gx53083	-0.257	0.263	0.263
Gx70233	-0.216	0.171	0.171
Gx88591	-0.003	0.984	0.984
Gx77735	-0.115	0.87	0.87
Gx48222	0.117	0.289	0.289
Gx91639	-0.278	0.00669	0.00669
Gx20072	0.036	0.887	0.887
Gx94387	-0.067	0.669	0.669
Gx11621	-0.17	0.0227	0.0227
Gx25307	0.064	0.305	0.305
Gx74691	0.238	0.0697	0.0697
Gx14480	-0.069	0.749	0.749
Gx44454	-0.46	0.385	0.385
Gx70712	0.146	0.395	0.395
Gx61066	-0.161	0.351	0.351
Gx86457	0.001	0.979	0.979
Gx61211	-0.167	0.0652	0.0652
Gx52664	0.07	0.39	0.39
Gx69504	-0.138	0.16	0.16
Gx31443	0.052	0.317	0.317
Gx13262	-0.21	0.463	0.463
Gx62755	0.044	0.591	0.591
Gx73392	0.518	0.204	0.204
Gx88895	0.097	0.0784	0.0784
Gx25676	0.014	0.866	0.866
Gx89649	0.011	0.958	0.958
Gx11512	-0.091	0.39	0.39
Gx22549	0.006	0.993	0.993
Gx79596	-0.124	0.512	0.512
Gx85307	0.159	0.15	0.15
Gx47899	0.207	0.3	0.3
Gx38848	0.193	0.239	0.239
Gx93472	-0.041	0.733	0.733
Gx24267	-0.464	0.0405	0.0405
Gx28350	0.041	0.43	0.43
Gx20271	-0.045	0.452	0.452
Gx65044	-0.166	0.0195	0.0195
Gx56179	0.004	0.94	0.94
Gx41839	0.067	0.456	0.456
Gx13315	0.063	0.652	0.652
Gx59030	0.036	0.51	0.51
Gx89254	0.157	0.208	0.208
Gx30004	0.128	0.195	0.195
Gx92497	0.013	0.844	0.844
Gx89817	-0.028	0.575	0.575
Gx24573	0.6	0.052	0.052
Gx30225	0.146	0.364	0.364
Gx40090	0.015	0.888	0.888
Gx42157	0.268	0.408	0.408
Gx31998	-0.008	0.898	0.898
Gx27037	-0.036	0.593	0.593
Gx97711	0.032	0.496	0.496
Gx60415	-0.024	0.899	0.899
Gx18147	-0.035	0.865	0.865
Gx63711	-0.082	0.418	0.418
Gx82932	0.182	0.653	0.653
Gx25801	-0.03	0.6	0.6
Gx71881	0.384	0.046	0.046
Gx51621	-0.121	0.124	0.124
Gx37806	0.044	0.643	0.643
Gx50339	-0.019	0.767	0.767
Gx26004	0.019	0.852	0.852
Gx45681	0.014	0.827	0.827
Gx62728	0.609	0.137	0.137
Gx54825	0.108	0.32	0.32
Gx33426	0.136	0.0398	0.0398
Gx69656	0.548	0.11	0.11
Gx99737	0.007	0.923	0.923
Gx73717	0.075	0.622	0.622
Gx95783	-0.354	0.0926	0.0926
Gx21254	-0.441	0.0932	0.0932
Gx34642	0.053	0.292	0.292
Gx43538	0.282	0.0789	0.0789
Gx45562	-0.045	0.397	0.397
Gx83771	0.058	0.499	0.499
Gx71393	-0.035	0.903	0.903
Gx32475	-0.112	0.304	0.304
Gx63932	-0.22	0.356	0.356
Gx94117	0.003	0.954	0.954
Gx56638	-0.147	0.664	0.664
Gx97185	-0.082	0.525	0.525
Gx46566	0.291	0.553	0.553
Gx28195	0.093	0.165	0.165
Gx28947	0.19	0.274	0.274
Gx34803	-0.062	0.597	0.597
Gx17264	0.053	0.648	0.648
Gx18175	0.104	0.274	0.274
Gx12257	0.115	0.149	0.149
Gx33652	-0.096	0.187	0.187
Gx11158	-0.306	0.0234	0.0234
Gx46353	0.197	0.633	0.633
Gx30571	-0.314	0.603	0.603
Gx43130	-0.308	0.122	0.122
Gx47852	-0.092	0.498	0.498
Gx42665	-0.072	0.483	0.483
Gx37401	0.116	0.298	0.298
Gx15604	0.007	0.971	0.971
Gx72546	0.124	0.528	0.528
Gx43622	0.072	0.454	0.454
Gx97709	-0.034	0.504	0.504
Gx14019	-0.347	0.49	0.49
Gx36954	0.012	0.877	0.877
Gx34334	0.066	0.667	0.667
Gx82927	-0.168	0.353	0.353
Gx75443	0.593	0.119	0.119
Gx85729	0.115	0.0765	0.0765
Gx86618	-0.19	0.38	0.38
Gx45929	0.137	0.0343	0.0343
Gx15072	-0.392	0.342	0.342
Gx74690	0.013	0.867	0.867
Gx54459	0.04	0.593	0.593
Gx59249	-0.206	0.228	0.228
Gx58720	0.03	0.89	0.89
Gx15465	0.017	0.859	0.859
Gx64257	0.077	0.144	0.144
Gx84354	0.001	0.989	0.989
Gx61058	0.051	0.927	0.927
Gx53991	-0.123	0.193	0.193
Gx76148	-0.015	0.746	0.746
Gx21784	0.03	0.78	0.78
Gx89457	0.03	0.64	0.64
Gx74914	0.053	0.331	0.331
Gx36981	-0.137	0.0575	0.0575
Gx14018	0.001	0.983	0.983
Gx26640	0.107	0.0514	0.0514
Gx33949	0.577	0.0977	0.0977
Gx29654	-0.017	0.705	0.705
Gx62576	0.052	0.721	0.721
Gx69825	-0.022	0.709	0.709
Gx46390	0.082	0.433	0.433
Gx75140	0.188	0.0979	0.0979
Gx73391	0.309	0.476	0.476
Gx38774	0.305	0.154	0.154
Gx97190	-0.495	0.463	0.463
Gx35637	0.071	0.67	0.67
Gx34221	-0.084	0.523	0.523
Gx68150	-0.013	0.841	0.841
Gx43982	-0.091	0.372	0.372
Gx81878	0.208	0.139	0.139
Gx56053	0.05	0.522	0.522
Gx40842	-0.016	0.818	0.818
Gx46648	0.104	0.517	0.517
Gx51804	0.101	0.463	0.463
Gx77337	0.035	0.459	0.459
Gx79036	-0.083	0.239	0.239
Gx39444	-0.317	0.0602	0.0602
Gx31970	-0.12	0.52	0.52
Gx81374	0.145	0.351	0.351
Gx51006	0.434	0.407	0.407
Gx80947	-0.12	0.09	0.09
Gx44183	0.06	0.256	0.256
Gx88944	-0.289	0.378	0.378
Gx16259	-0.072	0.193	0.193
Gx42467	0.016	0.837	0.837
Gx51157	-0.02	0.913	0.913
Gx57564	-0.024	0.622	0.622
Gx54634	-0.068	0.734	0.734
Gx21043	-0.068	0.682	0.682
Gx23156	-0.009	0.885	0.885
Gx95450	0.006	0.961	0.961
Gx22416	0.328	0.44	0.44
Gx36049	0.057	0.331	0.331
Gx49373	0.027	0.731	0.731
Gx51408	0.225	0.237	0.237
Gx60579	0.044	0.507	0.507
Gx69826	0.153	0.308	0.308
Gx80055	0.029	0.686	0.686
Gx78624	0.318	0.11	0.11
Gx49338	0.012	0.914	0.914
Gx93076	0.09	0.216	0.216
Gx34939	0.052	0.323	0.323
Gx24968	0.027	0.663	0.663
Gx62111	-0.214	0.0562	0.0562
Gx80364	0.003	0.973	0.973
Gx86105	0.074	0.451	0.451
Gx23939	0.101	0.146	0.146
Gx96117	0.03	0.711	0.711
Gx26468	0.205	0.249	0.249
Gx81919	0.03	0.887	0.887
Gx85945	-0.511	0.413	0.413
Gx34791	-0.443	0.0376	0.0376
Gx26622	-0.023	0.701	0.701
Gx11209	-0.023	0.869	0.869
Gx54126	0.044	0.618	0.618
Gx57348	-0.053	0.388	0.388
Gx41575	0.031	0.875	0.875
Gx72682	-0.144	0.603	0.603
Gx14881	0.06	0.427	0.427
Gx14058	0.176	0.0487	0.0487
Gx44449	0.118	0.451	0.451
Gx56588	-0.046	0.587	0.587
Gx93351	-0.028	0.889	0.889
Gx22544	-0.271	0.675	0.675
Gx50165	0.06	0.67	0.67
Gx34903	-0.17	0.312	0.312
Gx53154	0.292	0.112	0.112
Gx60817	-0.098	0.528	0.528
Gx68504	0.309	0.0941	0.0941
Gx45272	0.216	0.171	0.171
Gx62977	-0.269	0.114	0.114
Gx44188	0.843	0.0379	0.0379
Gx60720	-0.075	0.377	0.377
Gx59610	-0.268	0.318	0.318
Gx36899	-0.329	0.522	0.522
Gx69943	0.104	0.258	0.258
Gx70050	-0.177	0.0245	0.0245
Gx22824	0.273	0.301	0.301
Gx87836	0.066	0.576	0.576
Gx28215	0.133	0.177	0.177
Gx38557	0.408	0.132	0.132
Gx83010	-0.232	0.112	0.112
Gx95096	-0.036	0.896	0.896
Gx98213	-0.117	0.306	0.306
Gx63173	-0.384	0.00955	0.00955
Gx16320	0.055	0.76	0.76
Gx31039	-0.048	0.419	0.419
Gx61275	-0.011	0.912	0.912
Gx11039	0.142	0.115	0.115
Gx83993	0.609	0.0299	0.0299
Gx20501	0.521	0.0617	0.0617
Gx94740	0.069	0.432	0.432
Gx87811	-0.202	0.088	0.088
Gx93002	-0.218	0.279	0.279
Gx91729	0.429	0.0638	0.0638
Gx62029	-0.075	0.622	0.622
Gx20718	-0.016	0.789	0.789
Gx25796	-0.063	0.231	0.231
Gx37726	-0.076	0.523	0.523
Gx73973	-0.006	0.943	0.943
Gx23682	0.988	0.238	0.238
Gx78799	-0.205	0.376	0.376
Gx74615	0.076	0.147	0.147
Gx86897	0.036	0.51	0.51
Gx18407	0.064	0.2	0.2
Gx21947	0.235	0.536	0.536
Gx31848	0	1	1
Gx96856	0.051	0.599	0.599
Gx84816	-0.027	0.9	0.9
Gx60245	0.052	0.675	0.675
Gx79266	0	0.997	0.997
Gx87909	0.198	0.193	0.193
Gx58034	0.017	0.79	0.79
Gx89787	0.069	0.614	0.614
Gx68452	1.058	0.00672	0.00672
Gx71612	-0.085	0.233	0.233
Gx13333	0.045	0.592	0.592
Gx27424	0.023	0.654	0.654
Gx73774	-0.049	0.352	0.352
Gx76890	0.078	0.241	0.241
Gx12801	-0.108	0.0944	0.0944
Gx69977	0.053	0.272	0.272
Gx38863	-0.015	0.951	0.951
Gx35349	-0.022	0.703	0.703
Gx84439	0.047	0.397	0.397
Gx63251	0.044	0.458	0.458
Gx32664	-0.78	0.286	0.286
Gx15347	-0.14	0.699	0.699
Gx10886	-0.136	0.108	0.108
Gx30767	-0.04	0.807	0.807
Gx51880	0.035	0.624	0.624
Gx77490	-0.397	0.042	0.042
Gx95998	-0.013	0.833	0.833
Gx59618	0.046	0.879	0.879
Gx87881	0.258	0.0239	0.0239
Gx78744	0	0.996	0.996
Gx18071	-0.055	0.381	0.381
Gx20144	-0.014	0.752	0.752
Gx72696	0.004	0.967	0.967
Gx54133	0.182	0.0223	0.0223
Gx39640	-0.039	0.874	0.874
Gx71500	0.068	0.246	0.246
Gx45481	-0.189	0.494	0.494
Gx79471	0.186	0.202	0.202
Gx67897	-0.294	0.308	0.308
Gx55483	-0.141	0.464	0.464
Gx78158	-0.028	0.92	0.92
Gx63352	-0.011	0.884	0.884
Gx75593	0.261	0.208	0.208
Gx32823	-0.12	0.368	0.368
Gx25143	-0.119	0.268	0.268
Gx66982	-0.199	0.464	0.464
Gx18502	0.005	0.949	0.949
Gx98094	-0.231	0.125	0.125
Gx99388	-0.252	0.208	0.208
Gx99245	0.055	0.399	0.399
Gx61483	-0.057	0.266	0.266
Gx57927	-0.286	0.0995	0.0995
Gx31712	0.082	0.207	0.207
Gx82408	-0.077	0.715	0.715
Gx19609	-0.113	0.143	0.143
Gx48628	-0.012	0.96	0.96
Gx39742	-0.006	0.902	0.902
Gx68679	-0.055	0.283	0.283
Gx85410	0.699	0.105	0.105
Gx54758	0.058	0.348	0.348
Gx26643	-0.021	0.85	0.85
Gx17654	-0.641	0.24	0.24
Gx20505	0.04	0.88	0.88
Gx71139	0.33	0.44	0.44
Gx29322	0.057	0.346	0.346
Gx59584	0.043	0.641	0.641
Gx14794	-0.023	0.814	0.814
Gx11857	-0.025	0.792	0.792
Gx47490	-0.104	0.512	0.512
Gx15017	-0.053	0.415	0.415
Gx19461	-0.372	0.182	0.182
Gx59347	0.044	0.765	0.765
Gx13426	-0.302	0.324	0.324
Gx29974	0.372	0.204	0.204
Gx96708	0.03	0.517	0.517
Gx85393	-0.048	0.425	0.425
Gx58160	0.148	0.135	0.135
Gx26987	0.019	0.698	0.698
Gx37250	-0.138	0.265	0.265
Gx61912	-0.213	0.574	0.574
Gx80989	-0.537	0.0245	0.0245
Gx56817	-0.049	0.389	0.389
Gx26231	-0.144	0.215	0.215
Gx15351	0.015	0.807	0.807
Gx57839	0.009	0.945	0.945
Gx68713	-0.327	0.00625	0.00625
Gx59821	0.208	0.052	0.052
Gx67018	-0.206	0.0717	0.0717
Gx38185	0.318	0.0434	0.0434
Gx36419	-0.293	0.56	0.56
Gx87830	-0.097	0.449	0.449
Gx15952	0.027	0.633	0.633
Gx18400	0.034	0.767	0.767
Gx14253	0.101	0.0733	0.0733
Gx59612	0.509	0.0652	0.0652
Gx84448	0.014	0.77	0.77
Gx89524	-0.035	0.549	0.549
Gx13695	-0.065	0.527	0.527
Gx39267	-0.068	0.257	0.257
Gx80486	-0.024	0.664	0.664
Gx91828	-0.017	0.718	0.718
Gx87931	0.004	0.941	0.941
Gx64925	0.363	0.259	0.259
Gx33114	-0.082	0.311	0.311
Gx73144	0.172	0.0798	0.0798
Gx41098	0.021	0.713	0.713
Gx48650	0.155	0.0385	0.0385
Gx61234	0.083	0.223	0.223
Gx38899	0.518	0.308	0.308
Gx16150	0.205	0.0251	0.0251
Gx94595	-0.048	0.651	0.651
Gx32690	-0.074	0.581	0.581
Gx23217	-0.191	0.284	0.284
Gx72541	0.182	0.377	0.377
Gx70840	-0.08	0.536	0.536
Gx43740	0.145	0.0654	0.0654
Gx79647	0	0.995	0.995
Gx95317	0.014	0.814	0.814
Gx49708	-0.071	0.162	0.162
Gx38668	-0.254	0.00635	0.00635
Gx93792	0.039	0.743	0.743
Gx88430	-0.066	0.81	0.81
Gx74381	-0.077	0.511	0.511
Gx15856	0.584	0.105	0.105
Gx46852	0.138	0.375	0.375
Gx60816	-0.102	0.101	0.101
Gx89997	-0.077	0.527	0.527
Gx81399	-0.07	0.233	0.233
Gx50183	-0.028	0.659	0.659
Gx13520	0.018	0.843	0.843
Gx53332	-0.027	0.86	0.86
Gx99410	0.664	0.0253	0.0253
Gx84551	-0.023	0.731	0.731
Gx90468	0.047	0.807	0.807
Gx47792	0.096	0.209	0.209
Gx88775	-0.159	0.324	0.324
Gx56471	-0.045	0.48	0.48
Gx93146	0.092	0.113	0.113
Gx98992	0.127	0.269	0.269
Gx23964	-0.046	0.331	0.331
Gx57624	-0.102	0.201	0.201
Gx14334	0.017	0.713	0.713
Gx29039	0.052	0.535	0.535
Gx43629	0.042	0.533	0.533
Gx55902	-0.138	0.444	0.444
Gx99004	-0.442	0.0137	0.0137
Gx84326	0.154	0.0558	0.0558
Gx21016	0.213	0.208	0.208
Gx17402	0.273	0.218	0.218
Gx65243	-0.221	0.249	0.249
Gx77933	0.016	0.942	0.942
Gx62146	0.104	0.0637	0.0637
Gx23233	0.219	0.592	0.592
Gx78691	-0.08	0.492	0.492
Gx24264	-0.062	0.468	0.468
Gx16884	-0.069	0.497	0.497
Gx78743	-0.039	0.758	0.758
Gx26943	0.123	0.359	0.359
Gx67515	0.089	0.64	0.64
Gx97511	0.014	0.96	0.96
Gx70822	0.156	0.494	0.494
Gx59400	-0.047	0.677	0.677
Gx19943	-0.297	0.195	0.195
Gx86095	-0.117	0.138	0.138
Gx83169	-0.001	0.993	0.993
Gx42400	-0.08	0.173	0.173
Gx75439	0.126	0.429	0.429
Gx10320	0.027	0.576	0.576
Gx48452	0.054	0.47	0.47
Gx20964	0.062	0.799	0.799
Gx65248	0.065	0.514	0.514
Gx24712	0.126	0.331	0.331
Gx60604	0.336	0.247	0.247
Gx59752	0.043	0.695	0.695
Gx23334	-0.119	0.188	0.188
Gx70245	0.084	0.806	0.806
Gx65796	0.484	0.275	0.275
Gx24488	0.22	0.0396	0.0396
Gx96030	0.103	0.494	0.494
Gx78935	0.341	0.00089	0.00089
Gx58742	0.103	0.681	0.681
Gx20751	0.03	0.516	0.516
Gx29141	-0.184	0.158	0.158
Gx91491	-0.125	0.148	0.148
Gx84772	0.006	0.93	0.93
Gx42994	-0.038	0.838	0.838
Gx50625	0.027	0.826	0.826
Gx65059	-0.159	0.213	0.213
Gx89291	0.132	0.149	0.149
Gx45033	-0.235	0.408	0.408
Gx92194	-0.02	0.678	0.678
Gx15051	0.114	0.531	0.531
Gx73482	0.172	0.499	0.499
Gx90865	0.177	0.219	0.219
Gx88818	0.312	0.376	0.376
Gx71470	-0.042	0.831	0.831
Gx75844	0.071	0.197	0.197
Gx26035	0.152	0.0625	0.0625
Gx78632	0.01	0.862	0.862
Gx46656	0.035	0.592	0.592
Gx51465	-0.591	0.196	0.196
Gx76592	-0.081	0.169	0.169
Gx43382	-0.089	0.378	0.378
Gx29333	0.172	0.687	0.687
Gx34733	0.106	0.117	0.117
Gx66163	-0.075	0.889	0.889
Gx24076	0.08	0.359	0.359
Gx34605	-0.069	0.578	0.578
Gx28136	-0.237	0.217	0.217
Gx83018	-0.161	0.721	0.721
Gx96216	-0.149	0.274	0.274
Gx53662	-0.295	0.36	0.36
Gx50567	0.209	0.149	0.149
Gx82102	0.059	0.427	0.427
Gx81732	-0.014	0.842	0.842
Gx40520	-0.082	0.543	0.543
Gx98229	0.004	0.992	0.992
Gx39097	-0.229	0.136	0.136
Gx42959	0.132	0.279	0.279
Gx92137	0.017	0.921	0.921
Gx56770	-0.086	0.274	0.274
Gx23953	-0.107	0.244	0.244
Gx49971	0.002	0.986	0.986
Gx68678	-0.022	0.868	0.868
Gx65093	-0.097	0.577	0.577
Gx30938	-0.492	0.00617	0.00617
Gx87089	-0.114	0.121	0.121
Pavri4	1.645	0.000602	0.000602
Gx79602	-0.066	0.722	0.722
Gx58307	0.299	0.556	0.556
Gx38203	-0.102	0.0889	0.0889
Gx18823	0.17	0.329	0.329
Gx43645	-0.073	0.307	0.307
Gx80764	0.043	0.413	0.413
Gx39672	-0.002	0.987	0.987
Gx58999	-0.073	0.823	0.823
Gx26291	0.007	0.94	0.94
Gx71093	0.2	0.125	0.125
Gx50060	-0.037	0.614	0.614
Gx49594	-0.767	0.0822	0.0822
Gx95928	0.991	0.00115	0.00115
Gx16797	0.392	0.0638	0.0638
Gx64713	-0.18	0.0892	0.0892
Gx11791	-0.011	0.825	0.825
Gx27861	0.138	0.309	0.309
Gx29394	0.111	0.169	0.169
Gx61557	0.079	0.153	0.153
Gx33177	-0.034	0.657	0.657
Gx14917	-0.206	0.318	0.318
Gx56883	-0.058	0.765	0.765
Gx97302	-0.251	0.0498	0.0498
Gx49505	-0.161	0.105	0.105
Gx17703	-0.19	0.038	0.038
Gx13330	0.201	0.0912	0.0912
Gx19322	0.037	0.662	0.662
Gx67378	-0.041	0.654	0.654
Gx88194	0.006	0.931	0.931
Gx78503	0.08	0.16	0.16
Gx44526	-0.175	0.244	0.244
Gx21011	-0.202	0.274	0.274
Gx33540	0.09	0.155	0.155
Gx41184	-0.306	0.226	0.226
Gx81290	0.421	0.144	0.144
Gx86512	-0.071	0.588	0.588
Gx43803	0.8	0.0743	0.0743
Gx67370	-0.134	0.0748	0.0748
Gx40030	0.096	0.273	0.273
Gx63083	-0.038	0.802	0.802
Gx38988	0.065	0.349	0.349
Gx93874	-0.052	0.692	0.692
Gx88129	0.007	0.925	0.925
Gx11773	0.133	0.15	0.15
Gx70621	0.202	0.403	0.403
Gx72749	0.105	0.193	0.193
Gx35877	0.195	0.126	0.126
Gx58851	-0.175	0.044	0.044
Gx56397	0.54	0.173	0.173
Gx34070	-0.015	0.852	0.852
Gx66071	-0.355	0.21	0.21
Gx77551	0.114	0.569	0.569
Gx59877	0.397	0.578	0.578
Gx72159	-0.174	0.514	0.514
Gx87642	0.447	0.185	0.185
Gx94148	-0.076	0.33	0.33
Gx14506	-0.08	0.323	0.323
Gx72108	-0.132	0.602	0.602
Gx90895	-0.039	0.645	0.645
Gx71621	-0.049	0.482	0.482
Gx36986	-0.206	0.12	0.12
Gx35353	0.106	0.336	0.336
Gx44340	-0.273	0.00338	0.00338
Gx24334	0.019	0.896	0.896
Gx36269	0.096	0.0889	0.0889
Gx67581	0.065	0.331	0.331
Gx11573	-0.018	0.759	0.759
Gx35986	0.419	0.0448	0.0448
Gx23242	0.103	0.189	0.189
Gx26553	-0.219	0.388	0.388
Gx36262	-0.518	0.154	0.154
Gx28272	-0.029	0.736	0.736
Gx65964	0.074	0.239	0.239
Gx14252	0.947	0.00152	0.00152
Gx10000	0.134	0.059	0.059
Gx97497	0.126	0.0435	0.0435
Gx10244	0.028	0.722	0.722
Gx53668	0.501	0.181	0.181
Gx76382	-0.062	0.386	0.386
Gx90329	0.147	0.467	0.467
Gx25966	-0.035	0.73	0.73
Gx54149	-0.002	0.977	0.977
Gx16333	-0.134	0.501	0.501
Gx71481	0.021	0.705	0.705
Gx76558	-0.088	0.235	0.235
Gx75101	-0.03	0.743	0.743
Gx76774	0.026	0.911	0.911
Gx59875	-0.172	0.0277	0.0277
Gx24315	0.037	0.817	0.817
Gx52115	0.022	0.678	0.678
Gx77451	-0.158	0.0206	0.0206
Gx50715	0.197	0.0535	0.0535
Gx90179	-0.038	0.478	0.478
Gx33668	-0.024	0.886	0.886
Gx16939	-0.006	0.924	0.924
Gx17597	0.029	0.651	0.651
Gx17406	0.146	0.107	0.107
Gx65200	-0.345	0.106	0.106
Gx77570	-0.03	0.554	0.554
Gx58404	-0.568	0.0186	0.0186
Gx30624	-0.203	0.615	0.615
Gx94935	0.074	0.158	0.158
Gx70371	-0.201	0.0694	0.0694
Gx16800	-0.077	0.246	0.246
Gx60763	0.115	0.136	0.136
Gx54719	0.118	0.0896	0.0896
Gx85402	0.028	0.708	0.708
Gx22480	-0.267	0.479	0.479
Gx25546	0.073	0.3	0.3
Gx51217	-0.263	0.205	0.205
Gx30365	-0.018	0.763	0.763
Gx82949	0.011	0.849	0.849
Gx38413	-0.02	0.704	0.704
Gx96756	-0.053	0.431	0.431
Gx19192	-0.563	0.0881	0.0881
Gx57765	-0.192	0.531	0.531
Gx13779	-0.198	0.0353	0.0353
Gx23795	-0.037	0.428	0.428
Gx66768	0.058	0.332	0.332
Gx37632	-0.363	0.104	0.104
Gx56903	0.03	0.694	0.694
Gx36863	-0.011	0.916	0.916
Gx23085	0.095	0.176	0.176
Gx28728	0.012	0.847	0.847
Gx64805	0.011	0.917	0.917
Gx84947	0.002	0.989	0.989
Gx33620	0.318	0.353	0.353
Gx44998	0.079	0.265	0.265
Gx49663	0.01	0.908	0.908
Gx37319	0.012	0.816	0.816
Gx55251	-0.136	0.0921	0.0921
Gx44427	-0.116	0.227	0.227
Gx27630	-0.059	0.314	0.314
Gx32527	-0.149	0.501	0.501
Gx27211	0.036	0.797	0.797
Gx18629	-0.111	0.0668	0.0668
Gx23470	0.125	0.0655	0.0655
Gx41256	-0.851	0.0195	0.0195
Gx57390	0.133	0.232	0.232
Gx84638	-0.106	0.243	0.243
Gx62254	0.131	0.107	0.107
Gx76586	-0.193	0.206	0.206
Gx71660	-0.078	0.475	0.475
Gx44383	0.335	0.106	0.106
Gx95955	0.042	0.464	0.464
Gx40815	-0.126	0.0979	0.0979
Gx18912	-0.079	0.134	0.134
Gx72056	0.525	0.0216	0.0216
Gx58026	0.177	0.0118	0.0118
Gx31264	-0.017	0.871	0.871
Gx54540	-0.287	0.17	0.17
Cavrel	-0.53	0.000453	0.000453
Gx28961	0.005	0.983	0.983
Gx13614	-0.078	0.458	0.458
Gx34101	0	1	1
Gx55125	0.027	0.886	0.886
Gx91261	-0.126	0.0432	0.0432
Gx45246	-0.317	0.0613	0.0613
Gx18913	-0.166	0.662	0.662
